Device,Size [B],Date [UTC],list_devices
ams10-wxbb-rr01.webex.com,18102,2020/1/30 2:45,
blr03-con01.webex.com,12252,2020/1/30 2:46,
blr03-con02.webex.com,10277,2020/1/30 2:46,
blr03-wxbb-crt01.webex.com,27815,2020/1/30 2:46,
blr03-wxbb-crt02.webex.com,29241,2020/1/30 2:46,
blr03-wxcp-crt01.corp.webex.com,10242,2020/1/30 2:46,
blr03-wxp00-ace01a-core.webex.com,22869,2020/1/30 2:30,
blr03-wxp00-ace01a-gss.webex.com,6775,2020/1/30 2:30,
blr03-wxp00-ace01a-infra.webex.com,19269,2020/1/30 2:30,
blr03-wxp00-ace01a-mis-corp.webex.com,23405,2020/1/30 2:30,
blr03-wxp00-ace01a.webex.com,15173,2020/1/30 2:30,
blr03-wxp00-ace01b-core.webex.com,22869,2020/1/30 2:31,
blr03-wxp00-ace01b-gss.webex.com,6775,2020/1/30 2:31,
blr03-wxp00-ace01b-infra.webex.com,19269,2020/1/30 2:31,
blr03-wxp00-ace01b-mis-corp.webex.com,23405,2020/1/30 2:31,
blr03-wxp00-ace01b.webex.com,15173,2020/1/30 2:31,
blr03-wxp00-srt01.webex.com,43491,2020/1/30 2:47,
blr03-wxp00-srt02.webex.com,42722,2020/1/30 2:47,
blr03-wxpd-lb01a.webex.com,88557,2020/1/30 2:31,
blr03-wxpd-lb01b.webex.com,88624,2020/1/30 2:31,
dfw01-55a-mgmt-sw12.webex.com,13111,2020/1/29 2:48,
dfw01-56c-mgmt-sw22.webex.com,13244,2020/1/26 2:48,
dfw01-56e-mgmt-sw24.webex.com,13448,2020/1/28 2:54,
dfw01-56g-mgmt-sw26.webex.com,13403,2020/1/30 2:50,
dfw01-56h-mgmt-sw27.webex.com,13332,2020/1/28 2:54,
dfw01-56i-mgmt-sw28.webex.com,13561,2020/1/29 2:52,
dfw01-56j-mgmt-sw29.webex.com,13584,2020/1/29 2:54,
dfw01-56k-mgmt-sw30.webex.com,13463,2020/1/27 2:53,
dfw01-56l-mgmt-sw31.webex.com,13255,2020/1/30 2:53,
dfw01-56m-mgmt-sw32.webex.com,12990,2020/1/25 2:54,
dfw01-56o-mgmt-sw34.webex.com,13169,2020/1/30 2:56,
dfw01-59c-mgmt-sw37.webex.com,12659,2020/1/30 2:56,
dfw01-59d-mgmt-sw36.webex.com,12468,2020/1/30 2:55,
dfw01-60a-mgmt-sw02.webex.com,12942,2020/1/28 2:58,
dfw01-60b-mgmt-sw03.webex.com,13042,2020/1/30 2:58,
dfw01-60d-mgmt-sw05.webex.com,12926,2020/1/30 2:58,
dfw01-60e-mgmt-sw06.webex.com,11659,2020/1/30 2:57,
dfw01-60f-mgmt-sw07.webex.com,13601,2020/1/30 2:58,
dfw01-60g-mgmt-sw08.webex.com,13705,2020/1/30 2:57,
dfw01-60h-mgmt-sw09.webex.com,13060,2020/1/22 2:59,
dfw01-60i-mgmt-sw10.webex.com,13168,2020/1/28 3:02,
dfw01-60j-mgmt-sw11.webex.com,12502,2020/1/28 3:05,
dfw01-con05.webex.com,13832,2020/1/30 2:58,
dfw01-con06.webex.com,17218,2020/1/30 2:58,
dfw01-con07.webex.com,10916,2020/1/30 2:58,
dfw01-con08.webex.com,12602,2020/1/30 2:58,
dfw01-con10.webex.com,13364,2020/1/30 2:58,
dfw01-oob-con01.webex.com,22406,2020/1/30 2:58,
dfw01-oob-con02.webex.com,20427,2020/1/30 2:58,
dfw01-oob-sw01a.webex.com,39250,2020/1/30 2:58,
dfw01-oob-sw01b.webex.com,39102,2020/1/30 2:59,
dfw01-wxbb-pe01.webex.com,183706,2020/1/30 2:59,
dfw01-wxbb-pe02.webex.com,186283,2020/1/30 2:59,
dfw01-wxbt-lb01a-go.webex.com,150123,2020/1/30 2:31,
dfw01-wxbt-lb01a-jbr.webex.com,457573,2020/1/30 2:31,
dfw01-wxbt-lb01b-go.webex.com,149525,2020/1/30 2:31,
dfw01-wxbt-lb01b-jbr.webex.com,457073,2020/1/30 2:31,
dfw01-wxif-gss02.webex.com,1672,2020/1/30 3:01,
dfw01-wxif-gss03.webex.com,1628,2020/1/30 3:01,
dfw01-wxif-pb10.webex.com,30933,2020/1/30 3:01,
dfw01-wxif-pb11.webex.com,24025,2020/1/30 3:01,
dfw01-wxif-pb12.webex.com,15487,2020/1/30 3:01,
dfw01-wxif-pb13.webex.com,15595,2020/1/30 3:01,
dfw01-wxif-pb14.webex.com,12152,2020/1/30 3:01,
dfw01-wxp00-asa02a-connect.webex.com,72233,2020/1/30 2:43,
dfw01-wxp00-asa02a-system.webex.com,6052,2020/1/30 2:43,
dfw01-wxp00-asa02a.webex.com,8235,2020/1/30 2:43,
dfw01-wxp00-asa02b-connect.webex.com,72233,2020/1/30 2:43,
dfw01-wxp00-asa02b-system.webex.com,6054,2020/1/30 2:43,
dfw01-wxp00-asa02b.webex.com,8235,2020/1/30 2:43,
dfw01-wxp00-asa03a-beta.webex.com,83916,2020/1/30 2:43,
dfw01-wxp00-asa03a-bts-webex11.webex.com,56461,2020/1/30 2:43,
dfw01-wxp00-asa03a-core-2.webex.com,67676,2020/1/30 2:43,
dfw01-wxp00-asa03a-system.webex.com,7201,2020/1/30 2:43,
dfw01-wxp00-asa03a.webex.com,8096,2020/1/30 2:43,
dfw01-wxp00-asa03b-beta.webex.com,83916,2020/1/30 2:44,
dfw01-wxp00-asa03b-bts-webex11.webex.com,56461,2020/1/30 2:44,
dfw01-wxp00-asa03b-core-2.webex.com,67676,2020/1/30 2:44,
dfw01-wxp00-asa03b-system.webex.com,7203,2020/1/30 2:44,
dfw01-wxp00-asa03b.webex.com,8096,2020/1/30 2:44,
dfw01-wxp00-asa04a-admin.webex.com,74272,2020/1/30 2:44,
dfw01-wxp00-asa04a-dc-mgmt.webex.com,55948,2020/1/30 2:44,
dfw01-wxp00-asa04a-gss.webex.com,51389,2020/1/30 2:44,
dfw01-wxp00-asa04a-identity.webex.com,56542,2020/1/30 2:44,
dfw01-wxp00-asa04a-infra.webex.com,113089,2020/1/30 2:44,
dfw01-wxp00-asa04a-mis-webzone.webex.com,65446,2020/1/30 2:44,
dfw01-wxp00-asa04a-system.webex.com,8723,2020/1/30 2:44,
dfw01-wxp00-asa04a-webex11.webex.com,54977,2020/1/30 2:44,
dfw01-wxp00-asa04a.webex.com,8096,2020/1/30 2:44,
dfw01-wxp00-asa04b-admin.webex.com,74072,2020/1/30 2:44,
dfw01-wxp00-asa04b-dc-mgmt.webex.com,55748,2020/1/30 2:44,
dfw01-wxp00-asa04b-gss.webex.com,51189,2020/1/30 2:44,
dfw01-wxp00-asa04b-identity.webex.com,56342,2020/1/30 2:44,
dfw01-wxp00-asa04b-infra.webex.com,112889,2020/1/30 2:44,
dfw01-wxp00-asa04b-mis-webzone.webex.com,65246,2020/1/30 2:44,
dfw01-wxp00-asa04b-system.webex.com,8525,2020/1/30 2:44,
dfw01-wxp00-asa04b-webex11.webex.com,54777,2020/1/30 2:44,
dfw01-wxp00-asa04b.webex.com,7896,2020/1/30 2:44,
dfw01-wxp00-asacl01-core.webex.com,123449,2020/1/30 2:44,
dfw01-wxp00-asacl01-system.webex.com,5310,2020/1/30 2:44,
dfw01-wxp00-asacl01.webex.com,9432,2020/1/30 2:44,
dfw01-wxp00-cl-asa01-core.webex.com,123449,2020/1/30 2:44,
dfw01-wxp00-cl-asa01-system.webex.com,5310,2020/1/30 2:44,
dfw01-wxp00-cl-asa01.webex.com,9432,2020/1/30 2:44,
dfw01-wxp00-cl-asa02-core.webex.com,123449,2020/1/30 2:44,
dfw01-wxp00-cl-asa02-system.webex.com,5311,2020/1/30 2:44,
dfw01-wxp00-cl-asa02.webex.com,9432,2020/1/30 2:44,
dfw01-wxp00-cl-asa03-core.webex.com,123449,2020/1/30 2:44,
dfw01-wxp00-cl-asa03-system.webex.com,5311,2020/1/30 2:44,
dfw01-wxp00-cl-asa03.webex.com,9432,2020/1/30 2:44,
dfw01-wxp00-cl-asa04-core.webex.com,123449,2020/1/30 2:44,
dfw01-wxp00-cl-asa04-system.webex.com,5291,2020/1/30 2:44,
dfw01-wxp00-cl-asa04.webex.com,9432,2020/1/30 2:44,
dfw01-wxp00-cl-asa05-core.webex.com,123449,2020/1/30 2:44,
dfw01-wxp00-cl-asa05-system.webex.com,5291,2020/1/30 2:44,
dfw01-wxp00-cl-asa05.webex.com,9432,2020/1/30 2:44,
dfw01-wxp00-cl-asa06-core.webex.com,123449,2020/1/30 2:44,
dfw01-wxp00-cl-asa06-system.webex.com,5291,2020/1/30 2:44,
dfw01-wxp00-cl-asa06.webex.com,9432,2020/1/30 2:44,
dfw01-wxp00-csw01.webex.com,255305,2020/1/30 3:01,
dfw01-wxp00-csw02.webex.com,254880,2020/1/30 3:01,
dfw01-wxp00-dbhsw01.webex.com,15176,2020/1/30 3:01,
dfw01-wxp00-dbhsw02.webex.com,15171,2020/1/30 3:01,
dfw01-wxp00-gw01.webex.com,32770,2020/1/30 3:03,
dfw01-wxp00-gw02.webex.com,32771,2020/1/30 3:04,
dfw01-wxp00-lbns01-clp.webex.com,39694,2020/1/30 2:32,
dfw01-wxp00-lbsw01.webex.com,36967,2020/1/30 3:04,
dfw01-wxp00-lbsw02.webex.com,36942,2020/1/30 3:04,
dfw01-wxp00-lbsw03.webex.com,36135,2020/1/30 3:04,
dfw01-wxp00-lbsw04.webex.com,36073,2020/1/30 3:04,
dfw01-wxp00-lbsw05.webex.com,33812,2020/1/30 3:04,
dfw01-wxp00-lbsw06.webex.com,33430,2020/1/30 3:04,
dfw01-wxp00-srt01.webex.com,42126,2020/1/27 3:05,
dfw01-wxp00-srt02.webex.com,41975,2020/1/27 3:05,
dfw01-wxp00-sw01a.webex.com,15450,2020/1/30 3:04,
dfw01-wxp00-sw01b.webex.com,15458,2020/1/30 3:04,
dfw01-wxp00-sw02a.webex.com,13435,2020/1/30 3:04,
dfw01-wxp00-sw02b.webex.com,13464,2020/1/30 3:04,
dfw01-wxp00-sw100a.webex.com,35962,2020/1/30 3:04,
dfw01-wxp00-sw100b.webex.com,35405,2020/1/30 3:04,
dfw01-wxp00-sw101a.webex.com,13849,2020/1/30 3:04,
dfw01-wxp00-sw101b.webex.com,14109,2020/1/30 3:04,
dfw01-wxp00-sw102a.webex.com,59905,2020/1/30 3:04,
dfw01-wxp00-sw102b.webex.com,57674,2020/1/30 3:04,
dfw01-wxp00-sw103a.webex.com,28412,2020/1/30 3:04,
dfw01-wxp00-sw103b.webex.com,28462,2020/1/30 3:04,
dfw01-wxp00-sw104a.webex.com,13796,2020/1/30 3:04,
dfw01-wxp00-sw104b.webex.com,13776,2020/1/30 3:04,
dfw01-wxp00-sw105a.webex.com,13621,2020/1/30 3:04,
dfw01-wxp00-sw105b.webex.com,13601,2020/1/30 3:04,
dfw01-wxp00-sw13.webex.com,15783,2020/1/30 3:04,
dfw01-wxp00-sw14.webex.com,15675,2020/1/30 3:04,
dfw01-wxp00-sw16a.webex.com,13857,2020/1/30 3:04,
dfw01-wxp00-sw16b.webex.com,13651,2020/1/30 3:04,
dfw01-wxp00-sw17a.webex.com,11084,2020/1/30 3:04,
dfw01-wxp00-sw17b.webex.com,11285,2020/1/30 3:04,
dfw01-wxp00-sw18a.webex.com,15520,2020/1/30 3:04,
dfw01-wxp00-sw18b.webex.com,15399,2020/1/30 3:04,
dfw01-wxp00-sw19a.webex.com,82896,2020/1/30 3:04,
dfw01-wxp00-sw19b.webex.com,82122,2020/1/30 3:05,
dfw01-wxp00-sw20a.webex.com,18006,2020/1/30 3:04,
dfw01-wxp00-sw20b.webex.com,18006,2020/1/30 3:04,
dfw01-wxp00-sw21a.webex.com,46159,2020/1/30 3:05,
dfw01-wxp00-sw21b.webex.com,45875,2020/1/30 3:05,
dfw01-wxp00-sw22a.webex.com,12514,2020/1/30 3:05,
dfw01-wxp00-sw22b.webex.com,12517,2020/1/30 3:05,
dfw01-wxp00-sw23a.webex.com,12267,2020/1/30 3:05,
dfw01-wxp00-sw23b.webex.com,12184,2020/1/30 3:05,
dfw01-wxp00-sw24a.webex.com,14547,2020/1/30 3:05,
dfw01-wxp00-sw24b.webex.com,14403,2020/1/30 3:05,
dfw01-wxp00-sw25a.webex.com,42690,2020/1/30 3:05,
dfw01-wxp00-sw25b.webex.com,42664,2020/1/30 3:05,
dfw01-wxp00-sw26a.webex.com,36574,2020/1/30 3:05,
dfw01-wxp00-sw26b.webex.com,37723,2020/1/30 3:05,
dfw01-wxp00-sw27a.webex.com,13944,2020/1/30 3:05,
dfw01-wxp00-sw27b.webex.com,13910,2020/1/30 3:05,
dfw01-wxp00-sw28a.webex.com,14125,2020/1/30 3:05,
dfw01-wxp00-sw28b.webex.com,14190,2020/1/30 3:05,
dfw01-wxp00-sw29a.webex.com,36336,2020/1/30 3:05,
dfw01-wxp00-sw29b.webex.com,36316,2020/1/30 3:05,
dfw01-wxp00-sw30a.webex.com,62461,2020/1/30 3:05,
dfw01-wxp00-sw30b.webex.com,62353,2020/1/30 3:05,
dfw01-wxp00-xlbace01a-beta.webex.com,7870,2020/1/30 2:31,
dfw01-wxp00-xlbace01a-connect.webex.com,8337,2020/1/30 2:31,
dfw01-wxp00-xlbace01a-core-2.webex.com,8852,2020/1/30 2:31,
dfw01-wxp00-xlbace01a-core.webex.com,11434,2020/1/30 2:31,
dfw01-wxp00-xlbace01a.webex.com,6563,2020/1/30 2:31,
dfw01-wxp00-xlbace01b-beta.webex.com,7870,2020/1/30 2:31,
dfw01-wxp00-xlbace01b-connect.webex.com,8337,2020/1/30 2:31,
dfw01-wxp00-xlbace01b-core-2.webex.com,8852,2020/1/30 2:31,
dfw01-wxp00-xlbace01b-core.webex.com,11434,2020/1/30 2:31,
dfw01-wxp00-xlbace01b.webex.com,6563,2020/1/30 2:31,
dfw01-wxp00-xssl01-beta.webex.com,7507,2020/1/30 2:31,
dfw01-wxp00-xssl01-connect.webex.com,7436,2020/1/30 2:31,
dfw01-wxp00-xssl01-core-2.webex.com,8364,2020/1/30 2:31,
dfw01-wxp00-xssl01-core.webex.com,9864,2020/1/30 2:31,
dfw01-wxp00-xssl01.webex.com,4410,2020/1/30 2:31,
dfw01-wxp00-xssl02-beta.webex.com,7477,2020/1/30 2:31,
dfw01-wxp00-xssl02-connect.webex.com,7143,2020/1/30 2:31,
dfw01-wxp00-xssl02-core-2.webex.com,8074,2020/1/30 2:31,
dfw01-wxp00-xssl02-core.webex.com,9592,2020/1/30 2:31,
dfw01-wxp00-xssl02.webex.com,4589,2020/1/30 2:31,
dfw01-wxp00-xssl03-beta.webex.com,7507,2020/1/30 2:31,
dfw01-wxp00-xssl03-connect.webex.com,7436,2020/1/30 2:31,
dfw01-wxp00-xssl03-core-2.webex.com,8367,2020/1/30 2:31,
dfw01-wxp00-xssl03-core.webex.com,9498,2020/1/30 2:31,
dfw01-wxp00-xssl03.webex.com,4405,2020/1/30 2:31,
dfw01-wxp00-xssl04-beta.webex.com,7439,2020/1/30 2:31,
dfw01-wxp00-xssl04-connect.webex.com,7075,2020/1/30 2:31,
dfw01-wxp00-xssl04-core-2.webex.com,8035,2020/1/30 2:31,
dfw01-wxp00-xssl04-core.webex.com,9574,2020/1/30 2:31,
dfw01-wxp00-xssl04.webex.com,4972,2020/1/30 2:31,
dfw01-wxp00-xssl05-beta.webex.com,7507,2020/1/30 2:32,
dfw01-wxp00-xssl05-connect.webex.com,7146,2020/1/30 2:32,
dfw01-wxp00-xssl05-core-2.webex.com,8074,2020/1/30 2:32,
dfw01-wxp00-xssl05-core.webex.com,9574,2020/1/30 2:32,
dfw01-wxp00-xssl05.webex.com,4641,2020/1/30 2:32,
dfw01-wxp00-xssl06-beta.webex.com,8064,2020/1/30 2:32,
dfw01-wxp00-xssl06-connect.webex.com,7712,2020/1/30 2:32,
dfw01-wxp00-xssl06-core-2.webex.com,8367,2020/1/30 2:32,
dfw01-wxp00-xssl06-core.webex.com,9770,2020/1/30 2:32,
dfw01-wxp00-xssl06.webex.com,4701,2020/1/30 2:32,
dfw01-wxp00-xsw01.webex.com,14411,2020/1/30 3:05,
dfw01-wxp00-xsw02.webex.com,13756,2020/1/30 3:05,
dfw01-wxpd-lb01a-new.webex.com,17080,2020/1/30 2:32,
dfw01-wxpd-lb01a.webex.com,478776,2020/1/30 2:32,
dfw01-wxpd-lb01b-new.webex.com,19631,2020/1/30 2:32,
dfw01-wxpd-lb01b.webex.com,478776,2020/1/30 2:32,
dfw01-wxpd-lb02a.webex.com,252720,2020/1/30 2:32,
dfw01-wxpd-lb02b.webex.com,252720,2020/1/30 2:32,
dfw01-wxpd-lb03a.webex.com,375303,2020/1/30 2:32,
dfw01-wxpd-lb03b.webex.com,376025,2020/1/30 2:32,
dfw01-wxpd-lb11a.webex.com,553639,2020/1/30 2:32,
dfw01-wxpd-lb11b.webex.com,553639,2020/1/30 2:32,
dfw01-wxpd-lb12a.webex.com,468236,2020/1/30 2:32,
dfw01-wxpd-lb12b.webex.com,468252,2020/1/30 2:32,
dfw01-wxpd-lb13a.webex.com,123700,2020/1/30 2:32,
